CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Paraná;;;;;;;;;;;;;;;;
Quantidade SUS por Ano/mês compet. e Leitos complementares;;;;;;;;;;;;;;;;
Município: 410690 Curitiba;;;;;;;;;;;;;;;;
Região de Saúde (CIR): 41002 2ª RS Metropolitana;;;;;;;;;;;;;;;;
Período:Ago/2016-Abr/2019;;;;;;;;;;;;;;;;
Ano/mês compet.;Unidade intermediária neonatal;Unidade isolamento;UTI adulto I;UTI adulto II;UTI adulto III;UTI pediátrica II;UTI pediátrica III;UTI neonatal II;UTI neonatal III;UTI de Queimados;Unidade de cuidados intermed neonatal convencional;Unidade de cuidados intermed neonatal canguru;Unidade de cuidados intermed adulto;Total;Total Uti;Total Uci+Iso
2016/Ago;25;58;1;154;43;2;46;19;47;4;30;6;17;452;;
2016/Set;25;58;1;154;48;2;46;19;47;4;30;6;17;457;;
2016/Out;25;58;1;154;48;2;46;19;47;4;30;6;17;457;;
2016/Nov;25;58;1;154;48;2;46;19;47;4;30;6;17;457;;
2016/Dez;7;58;1;154;48;2;46;19;47;4;48;6;17;457;;
2017/Jan;7;58;1;154;48;2;46;19;47;4;48;6;17;457;;
2017/Fev;7;58;1;154;48;2;46;19;47;4;48;6;17;457;;
2017/Mar;7;58;1;154;48;2;46;19;47;4;48;6;17;457;;
2017/Abr;7;58;1;154;48;2;46;19;47;4;48;6;17;457;;
2017/Mai;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Jun;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Jul;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Ago;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Set;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Out;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Nov;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2017/Dez;-;58;1;154;48;2;46;19;47;4;48;6;17;450;;
2018/Jan;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Fev;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Mar;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Abr;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Mai;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Jun;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Jul;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Ago;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Set;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Out;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Nov;-;58;-;154;48;2;46;19;47;4;48;6;17;449;;
2018/Dez;-;58;-;158;88;2;46;19;42;4;48;6;17;488;;
2019/Jan;-;58;-;123;88;2;46;19;42;4;48;6;17;453;;
2019/Fev;-;58;-;123;88;2;46;19;42;4;48;6;17;453;;
2019/Mar;-;58;-;123;88;2;46;19;42;4;48;6;17;453;;
2019/Abr;-;58;-;123;88;2;46;19;42;4;48;6;17;453;;
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES;;;;;;;;;;;;;;;;
 Nota:;;;;;;;;;;;;;;;;
" A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:";;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".;;;;;;;;;;;;;;;;
" De junho de 2012 a outubro de 2015, estão disponíveis tanto como ""Natureza"" e ""Esfera Administrativa"", como ""Natureza Jurídica"" e ""Esfera Jurídica"".";;;;;;;;;;;;;;;;
" A partir de novembro de 2015, estão disponíveis como ""Natureza Jurídica"" e ""Esfera Jurídica"".";;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
