Seção;Sub seção;Informação;Fonte Citada;Pagina;Só texto;Relatório;Observação;Link;Comentário relatório;Aberta;;;;;;;;;;;;;;;;;
PROMOÇÃO DO AUTO CUIDADO;;METAS REALIZADAS;Não Informado;5;S;12-3;;;;;;;;;;;;;;;;;;;;;
PROMOÇÃO DO AUTO CUIDADO;;ATIVIDADES DE PROMOÇÃO DE SAÚDE/EVENTOS;Não Informado;6;N;12-3;;;;;;;;;;;;;;;;;;;;;
PROMOÇÃO DO AUTO CUIDADO;;RESULTADOS/INDICADORES DE SAÚDE;Não Informado;6;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;INSPEÇÕES SANITÁRIAS POR DISTRITO SANITÁRIO E CSA;Centro de Saúde Ambiental – SIMIVISA;7;N;12-3;;;"As tabelas referentes às inspeções sanitárias refletem o número de estabelecimentos
inspecionados (somente 1ª visita) e não o somatório de todas as inspeções realizadas
nos estabelecimentos (1ª visita e retorno).";;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;INSPEÇÕES SANITÁRIAS SEGUNDO SERVIÇOS DA VIGILÂNCIA EM SAÚDE;Centro de Saúde Ambiental – SIMIVISA;7;N;12-3;;;"As tabelas referentes às inspeções sanitárias refletem o número de estabelecimentos
inspecionados (somente 1ª visita) e não o somatório de todas as inspeções realizadas
nos estabelecimentos (1ª visita e retorno).";;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;LICENÇAS SANITÁRIAS POR SERVIÇOS DA VIGILÂNCIA SANITÁRIA;Centro de Saúde Ambiental – SIMIVISA;7;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;RAMOS DE ATIVIDADES MAIS DENUNCIADOS;Centro de Saúde Ambiental – SIMIVISA;7;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;SITUAÇÕES AMBIENTAIS MAIS SOLICITADAS;Centro de Saúde Ambiental – SIMIVISA;7;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;MEDIDAS ADMINISTRATIVAS EFETIVADAS PELOS DISTRITOS SANITÁRIOS E CENTRO DE SAÚDE AMBIENTAL;Centro de Saúde Ambiental;8;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;PLANTÃO DE FINAL DE SEMANA DE VIGILÂNCIA SANITÁRIA;Centro de Saúde Ambiental – Coordenação de Vigilância Sanitária – Serviço de Vig. Sanitária de alimento;10;N;12-3;;;;;;;;;;;;;;;;;;;;;
